Temperature,Formula,ZT
650,Na0.02Pb0.95Cd0.03Te1,1.3880927454669354
700,Na0.02Pb0.95Cd0.03Te1,1.4931542308461507
750,Na0.02Pb0.95Cd0.03Te1,1.532095386329602
300,Pb0.998Yb0.002Te0.994I0.006,0.2781545106368883
350,Pb0.998Yb0.002Te0.994I0.006,0.2984420002799845
400,Pb0.998Yb0.002Te0.994I0.006,0.3465506844811695
450,Pb0.998Yb0.002Te0.994I0.006,0.400655857706751
500,Pb0.998Yb0.002Te0.994I0.006,0.4650645664310699
550,Pb0.998Yb0.002Te0.994I0.006,0.5290177922601974
600,Pb0.998Yb0.002Te0.994I0.006,0.5432398358267785
350,In0.0025Ag0.0075Sn0.99Te1,0.0484204579027479
400,In0.0025Ag0.0075Sn0.99Te1,0.0652884264837532
450,In0.0025Ag0.0075Sn0.99Te1,0.0842898406033966
500,In0.0025Ag0.0075Sn0.99Te1,0.1068768467634487
550,In0.0025Ag0.0075Sn0.99Te1,0.1356046289489458
600,In0.0025Ag0.0075Sn0.99Te1,0.1738479857597463
650,In0.0025Ag0.0075Sn0.99Te1,0.224965218245644
700,In0.0025Ag0.0075Sn0.99Te1,0.2899861747198161
750,In0.0025Ag0.0075Sn0.99Te1,0.3623273910095868
350,Pb0.999In0.001Te0.99Se0.01,0.0520288534944249
400,Pb0.999In0.001Te0.99Se0.01,0.105190459760029
450,Pb0.999In0.001Te0.99Se0.01,0.1901483657193193
500,Pb0.999In0.001Te0.99Se0.01,0.2976119913525236
550,Pb0.999In0.001Te0.99Se0.01,0.411071717675585
600,Pb0.999In0.001Te0.99Se0.01,0.5158964351804624
650,Pb0.999In0.001Te0.99Se0.01,0.6010527755416857
700,Pb0.999In0.001Te0.99Se0.01,0.6534602749098221
750,Pb0.999In0.001Te0.99Se0.01,0.6541270688355054
300,Pb1.001Te0.5Se0.5I0.002,0.1003756491623146
350,Pb1.001Te0.5Se0.5I0.002,0.1607560233135765
400,Pb1.001Te0.5Se0.5I0.002,0.2660656651185069
450,Pb1.001Te0.5Se0.5I0.002,0.4395060999121968
500,Pb1.001Te0.5Se0.5I0.002,0.6565288661678889
550,Pb1.001Te0.5Se0.5I0.002,0.8592609096044603
600,Pb1.001Te0.5Se0.5I0.002,1.0397329287992274
350,In0.005Sn0.995Te1,0.1041761115434845
400,In0.005Sn0.995Te1,0.1323513567575732
450,In0.005Sn0.995Te1,0.1643030848902567
500,In0.005Sn0.995Te1,0.2019839896512552
550,In0.005Sn0.995Te1,0.247154288329694
600,In0.005Sn0.995Te1,0.3014310116193096
650,In0.005Sn0.995Te1,0.3665597573723246
700,In0.005Sn0.995Te1,0.4447974545767342
